Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava_;Provajder
O_1030_STOPHOT_1030HOT                  ;2024-11-01;5;5;25;25;0;25;0;0;0;0;0;0;NTHMedia_S
O_1030_STOPLET_1030LET                  ;2024-11-01;5;4;20;20;0;20;0;0;0;0;0;0;NTHMedia_S
O_1030_STOPSPA_1030SPA                  ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1123_STOPFV_1123FV                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1123_STOPHV_1123HV                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1123_STOPMX_1123MX                    ;2024-11-01;5;3;15;15;0;15;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPGAMMA_1553GAMMA              ;2024-11-01;5;14;70;70;5;70;0;0;0;0;0;6;NTHMedia_S
O_1553_STOPHD_1553Hd                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPOCISTI_1553OCISTI            ;2024-11-01;5;4;20;20;0;20;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPTOP_1553Top                  ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1553_STOPXONE_1553XONE                ;2024-11-01;5;126;630;630;5;620;10;10;0;0;0;6;NTHMedia_S
O_1554_STOPAPC_1554APC                  ;2024-11-01;5;1510;7550;7550;65;7430;120;120;0;0;0;78;NTHMedia_S
O_1554_STOPEVG_1554EVG                  ;2024-11-01;5;108;540;540;10;530;10;10;0;0;0;12;NTHMedia_S
O_1554_STOPJACK_NTHJackass              ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPMOV_1554MOV                  ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPOK_1554OK                    ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPPUSSY_NTHPussylicious        ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPRRR_1554RRR                  ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_1554_STOPTUBE_1554TUBE                ;2024-11-01;5;479;2395;2395;25;2370;25;25;0;0;0;30;NTHMedia_S
O_1556_STOPFUN_1556FUN                  ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1556_STOPGAMI_1556GAMI                ;2024-11-01;5;6;30;30;0;30;0;0;0;0;0;0;NTHMedia_S
O_1556_STOPRAPID_1556RAPID              ;2024-11-01;5;200;1000;1000;25;995;5;5;0;0;0;30;NTHMedia_S
O_1556_STOPTOP_1556TOP                  ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1617_STOPIGRE_NTHigre                 ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1666_STOPAKA_NTHAka                   ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_1666_STOPGOLD1_NTHGold1               ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_2229_STOPSAVET_2229SuperSavet         ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_2778_STOPEROV2_2778Erov2              ;2024-11-01;5;31;155;155;0;150;5;5;0;0;0;0;NTHMedia_S
O_2778_STOPEROV3_2778Erov3              ;2024-11-01;5;6;30;30;0;25;5;5;0;0;0;0;NTHMedia_S
O_3334_STOPGEN_3334GEN                  ;2024-11-01;5;144;720;720;10;705;15;15;0;0;0;12;NTHMedia_S
O_4011_STOPBRAIN_4011BRAIN              ;2024-11-01;5;130;650;650;20;630;20;20;0;0;0;24;NTHMedia_S
O_4016_STOPOCISTI_4016OCISTI            ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_4025_STOPFB_4025FB                    ;2024-11-01;5;3;15;15;0;15;0;0;0;0;0;0;NTHMedia_S
O_4025_STOPTH_4025TH                    ;2024-11-01;5;60;300;300;5;290;10;10;0;0;0;6;NTHMedia_S
O_4091_STOPMS_4091MS                    ;2024-11-01;5;672;3360;3360;75;3315;45;45;0;0;0;90;NTHMedia_S
O_4092_STOPASTRO_4092ASTRO              ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_4092_STOPGAMI_4092GAMI                ;2024-11-01;5;313;1565;1565;35;1555;10;10;0;0;0;42;NTHMedia_S
O_4092_STOPM360_4092M360                ;2024-11-01;5;7;35;35;0;35;0;0;0;0;0;0;NTHMedia_S
O_4093_STOPSTREAM_4093STREAM            ;2024-11-01;5;244;1220;1220;20;1190;30;30;0;0;0;24;NTHMedia_S
O_4094_STOPABC_4094ABC                  ;2024-11-01;5;29;145;145;5;145;0;0;0;0;0;6;NTHMedia_S
O_4094_STOPHUB_4094HUB                  ;2024-11-01;5;582;2910;2910;15;2895;15;15;0;0;0;18;NTHMedia_S
O_4094_STOPIGRAJ_4094IGRAJ              ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_4097_STOPAAA_4097AAA                  ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_4097_STOPDF_4097DF                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_4098_STOPAAA_4098AAA                  ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_4272_STOPSM_4272SM                    ;2024-11-01;5;1435;7175;7175;110;7050;125;125;0;0;0;132;NTHMedia_S
O_4466_STOPPREUZMI_4466PREUZMI          ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_4505_STOPAUGIE_4505AUGIE              ;2024-11-01;5;31;155;155;5;155;0;0;0;0;0;6;NTHMedia_S
O_4516_STOPASTRO_4516ASTRO              ;2024-11-01;5;3;15;15;10;10;5;5;0;0;0;12;NTHMedia_S
O_4516_STOPDANCE_4516DANCE              ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_4516_STOPFUN_4516FUN                  ;2024-11-01;5;5;25;25;0;25;0;0;0;0;0;0;NTHMedia_S
O_4516_STOPIQ_4516IQ                    ;2024-11-01;5;8;40;40;0;40;0;0;0;0;0;0;NTHMedia_S
O_4516_STOPKLICK_4516KLICK              ;2024-11-01;5;6;30;30;0;30;0;0;0;0;0;0;NTHMedia_S
O_4516_STOPLOL_4516LOL                  ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_4516_STOPPIC_4516PIC                  ;2024-11-01;5;35;175;175;0;165;10;10;0;0;0;0;NTHMedia_S
O_4516_STOPSPICY_4516SPICY              ;2024-11-01;5;149;745;745;20;730;15;15;0;0;0;24;NTHMedia_S
O_4557_STOPHUB_4557HUB                  ;2024-11-01;5;3;15;15;0;15;0;0;0;0;0;0;NTHMedia_S
O_4820_STOPAW_4820AW                    ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_4822_STOPKC_4822KC                    ;2024-11-01;5;9;45;45;0;45;0;0;0;0;0;0;NTHMedia_S
O_5060_STOPFC_5060FC                    ;2024-11-01;5;415;2075;2075;15;2050;25;25;0;0;0;18;NTHMedia_S
O_5200_STOPBED_5200BED                  ;2024-11-01;5;13;65;65;5;60;5;5;0;0;0;6;NTHMedia_S
O_5200_STOPGAM_5200GAM                  ;2024-11-01;5;173;865;865;10;865;0;0;0;0;0;12;NTHMedia_S
O_5225_STOPAV_5225AV                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_5225_STOPFC_5225FC                    ;2024-11-01;5;25;125;125;0;125;0;0;0;0;0;0;NTHMedia_S
O_5225_STOPGET_5225GET                  ;2024-11-01;5;9;45;45;0;45;0;0;0;0;0;0;NTHMedia_S
O_5444_STOPCF_5444CF                    ;2024-11-01;5;5;25;25;0;25;0;0;0;0;0;0;NTHMedia_S
O_5444_STOPPT_5444PT                    ;2024-11-01;5;11;55;55;5;55;0;0;0;0;0;6;NTHMedia_S
O_5522_STOPWATCH_5522WATCH              ;2024-11-01;5;11;55;55;0;55;0;0;0;0;0;0;NTHMedia_S
O_5530_STOPAPPSFACTORY_5530APPSFACTORY  ;2024-11-01;5;12;60;60;0;60;0;0;0;0;0;0;NTHMedia_S
O_5789_STOPCRZ_5789CRZ                  ;2024-11-01;5;2;10;10;0;10;0;0;0;0;0;0;NTHMedia_S
O_5791_STOPMMG_5791MMG                  ;2024-11-01;5;5;25;25;0;25;0;0;0;0;0;0;NTHMedia_S
O_5791_STOPMMV_5791MMV                  ;2024-11-01;5;3;15;15;0;15;0;0;0;0;0;0;NTHMedia_S
O_5791_STOPQCS_5791QCS                  ;2024-11-01;5;6;30;30;0;30;0;0;0;0;0;0;NTHMedia_S
O_5791_STOPUGZ_5791UGZ                  ;2024-11-01;5;6;30;30;5;30;0;0;0;0;0;6;NTHMedia_S
O_5792_STOPPFL_5792PFL                  ;2024-11-01;5;6;30;30;0;30;0;0;0;0;0;0;NTHMedia_S
O_5807_STOPBMS_5807BMS                  ;2024-11-01;5;185;925;925;5;915;10;10;0;0;0;6;NTHMedia_S
O_5807_STOPBT_5807BT                    ;2024-11-01;5;279;1395;1395;15;1380;15;15;0;0;0;18;NTHMedia_S
O_5807_STOPGYM_5807GYM                  ;2024-11-01;5;108;540;540;15;525;15;15;0;0;0;18;NTHMedia_S
O_5807_STOPYC_5807YC                    ;2024-11-01;5;348;1740;1740;20;1735;5;5;0;0;0;24;NTHMedia_S
O_7008_STOPSAT_7008Sat                  ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
O_8807_STOPFIT_8807FIT                  ;2024-11-01;5;4;20;20;0;20;0;0;0;0;0;0;NTHMedia_S
O_8807_STOPHORO_8807HORO                ;2024-11-01;5;44;220;220;15;220;0;0;0;0;0;18;NTHMedia_S
O_8809_STOPSKUEEDIO_8809SKUEEDIO        ;2024-11-01;5;159;795;795;10;790;5;5;0;0;0;12;NTHMedia_S
R_1030_LET_1030LET                      ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_1123_HV_1123HV                        ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_1123_MV_1123MV                        ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_1553_OCISTI_1553OCISTI                ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_1554_AA_1554AA                        ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_1554_MOV_1554MOV                      ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_1554_OK_1554OK                        ;2024-11-01;5;3;15;15;0;15;0;0;0;0;0;0;NTHMedia_S
R_2229_SAVET_2229SuperSavet             ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_2778_EROV2_2778Erov2                  ;2024-11-01;5;26;130;130;0;120;10;10;0;0;0;0;NTHMedia_S
R_2778_EROV3_2778Erov3                  ;2024-11-01;5;7;35;35;0;35;0;0;0;0;0;0;NTHMedia_S
R_4091_MS_4091MS                        ;2024-11-01;5;1;5;5;5;5;0;0;0;0;0;6;NTHMedia_S
R_4516_FUN_4516FUN                      ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_8807_TK1_8807TK1                      ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_8807_TK11_8807TK11                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
R_8807_TK14_8807TK14                    ;2024-11-01;5;1;5;5;0;5;0;0;0;0;0;0;NTHMedia_S
S___1030HOT                             ;2024-11-01;150;222;33300;33300;2400;33300;0;0;0;0;0;2880;NTHMedia_S
S___1030LET                             ;2024-11-01;300;76;22800;22800;0;22800;0;0;0;0;0;0;NTHMedia_S
S___1030SPA                             ;2024-11-01;300;10;3000;3000;0;3000;0;0;0;0;0;0;NTHMedia_S
S___1123FT                              ;2024-11-01;150;23;3450;3450;0;3450;0;0;0;0;0;0;NTHMedia_S
S___1123FV                              ;2024-11-01;150;49;7350;7350;0;7350;0;0;0;0;0;0;NTHMedia_S
S___1123GA                              ;2024-11-01;150;8;1200;1200;0;1200;0;0;0;0;0;0;NTHMedia_S
S___1123HV                              ;2024-11-01;150;44;6600;6600;0;6600;0;0;0;0;0;0;NTHMedia_S
S___1123MV                              ;2024-11-01;150;186;27900;27900;0;26550;1350;1350;0;0;0;0;NTHMedia_S
S___1123MX                              ;2024-11-01;150;220;33000;33000;0;33000;0;0;0;0;0;0;NTHMedia_S
S___1518IGRA                            ;2024-11-01;150;8;1200;1200;0;1200;0;0;0;0;0;0;NTHMedia_S
S___1553GAMMA                           ;2024-11-01;300;369;110700;110700;1200;104100;6600;6600;0;0;0;1440;NTHMedia_S
S___1553Hd                              ;2024-11-01;150;74;11100;11100;0;9900;1200;1200;0;0;0;0;NTHMedia_S
S___1553OCISTI                          ;2024-11-01;300;159;47700;47700;1500;43800;3900;3900;0;0;0;1800;NTHMedia_S
